Index,Degree,Technical Skills,Soft Skills,Language,Experience Requirement,Experience Years Requirement
14279,"Working towards a bachelor?€?s degree in biomedical engineering, Mechanical Engineering, or related field or equivalent combination of education and applicable job experience",Solid Works software,None,None,"Some knowledge of Good Documentation Practices (GDP), Exposure to testing methodology in a manufacturing environment is valuable, Basic data analysis skill is a plus",None
14280,Enrolled in a BS or MS program for a supporting field,None,Excellent written and verbal communication skills,None,"Previous applicable intern, co-op, part-time or apprenticeship experience is preferred, Strong understanding developing marketing campaigns, Strong understanding of data analytic techniques",None
14281,Bachelor?€?s,"Microsoft Office, CAD software","Strong interest in design consulting, Ability to communicate clearly in oral and written forms",None,Prior internship experience with building systems design is a plus,None
14282,None,"Python, C++, C#, LabVIEW, Java, SQL, CAD",Able to perform hands-on Mechanical and Electrical hardware assembly and instrumentation,None,None,None
14283,Bachelor?€?s,None,Passionate about problem solving and developing solutions,None,None,None
14284,None,None,"Ability to work in a team environment, Safety awareness in industrial settings",None,None,None
14285,Bachelor?€?s,"AWS, Azure","Excellent communication skills, Ability to bridge the gap between business and IT",None,None,None
14286,Bachelor?€?s,None,"Ability to champion initiatives from start-to-finish, Strong problem-solving skills",None,None,None
14287,None,None,"Thrives in dynamic environments, Ability to understand and carry out detailed oral and written instructions",None,None,None
14288,Bachelor?€?s,"Microsoft Word, PowerPoint, Excel","Strong written and verbal communication skills, Ability to work independently and as part of a team",None,None,None
14289,"Master?€?s, PhD","Robotics, AI",Clear communication skills with strong analytical skills,None,Minimum of 5 years of relevant experience post-Bachelor?€?s degree,5+ years
14290,Bachelor?€?s,None,"Exceptional organization/administrative skills, Strong interpersonal skills and effective communication",None,None,None
14291,None,None,"Excellent written and verbal communication skills, Ability to work collaboratively in a team environments",None,None,None
14292,Bachelor?€?s,None,"Strong communication skills, Self-Motivated, possessing grit and energy",None,None,None
14293,"Bachelor?€?s, Master?€?s","Python, PyTorch",None,English,Some experience with Python and PyTorch,None
14294,Bachelor?€?s,"Microsoft Office suite (Word, Excel, PowerPoint, Outlook)","Strong desire to engage with Seattle Children?€?s employees, patients and families, and the community",None,None,None
14295,Bachelor?€?s,"Microsoft Office, Google Suite","Strong analytical, quantitative, and organizational skills, Excellent written and verbal communication skills",None,None,None
14296,Bachelor?€?s,None,None,None,None,None
14297,"Bachelor?€?s, Master?€?s, Doctorate",None,Proven ability to work optimally with individuals from a diverse set of backgrounds and cultures,None,None,None
14298,Bachelor?€?s,Microsoft (MS) Windows and Office products,Willingness to learn new technologies,None,None,None
14299,None,Bloomberg,"Excellent analytical capability, quantitative skills, and financial fluency",None,"Experience in equity research, investment banking, consulting, or private equity",None
14300,None,None,"Exceptional communication and presentation skills, Strong attention to detail, Collaborative problem-solving mindset",None,None,None
14301,Bachelor?€?s,"Microsoft Office, Adobe Illustrator","Excellent verbal and written communication skills, Attention to detail and discretion",None,None,None
14302,Bachelor?€?s,None,"Strong attention to detail and excellent written and oral communication skills, Desire to work collaboratively",None,None,None
14303,Bachelor?€?s,"MS Office, AutoCAD, SolidWorks","Good communication skills, Ability to work on a variety of technical problems",None,None,None
14304,"Bachelor?€?s, Master?€?s","Python, ML cloud services","Excellent interpersonal, partnership and collaboration skills, Good organizational skills and attention to detail",None,None,None
14305,None,None,"Strong oral and written communication, Be open to constructive feedback and professional development",English,None,None
14306,None,None,None,None,0-1 years of experience in a healthcare setting required,0-1 years
14307,None,Microsoft Office Suite,"Strong communication and interpersonal skills, Strong organizational skills and attention to detail",None,None,None
14308,Bachelor?€?s,None,"Competent interpersonal and communication skills, Basic proficiency with technical writing",None,None,None
14309,High School Diploma,None,"Prior cash handling experience, Previous customer service experience preferred",None,None,None
14310,None,None,"Passionate about exploring new ideas in hospitality, marketing, or real estate",None,1-3 years of customer service and sales experience,1-3 years
14311,Bachelor?€?s or Master?€?s,spreadsheet software,"Strong written and verbal communication skills, Proven analytical skills",None,None,None
14312,Bachelor?€?s or Master?€?s,"Microsoft Excel, PowerPoint, Teams",Strong analytical and problem-solving skills,None,None,None
14313,None,None,"Exceptional Communication Skills, Keen Attention to Detail, Strategic Thinking and Creativity, Self-Motivated",None,None,None
14314,None,"SEO, SEM","Strong written and verbal communication skills, Ability to work collaboratively in a team, Creativity",None,None,None
14315,None,None,"Strong communication skills, Enthusiasm for engineering challenges",None,None,None
14316,Bachelor?€?s,"Microsoft Office (Excel, PowerPoint, Word)",Strong research and analytical skills,Bilingual (French and English),None,None
14317,Bachelor?€?s,NFPA Codes,Demonstrated critical thinking skills,None,None,None
14318,"Associate?€?s, Bachelor?€?s, or Master?€?s",None,None,None,Prior GE Aerospace internship experience required,None
14319,Engineering degree,Microsoft Office (Word and Excel),"Excellent communication skills, Evidence of leadership and teamwork skills",None,None,None
14320,High School Diploma or Equivalent,None,"High level of organization and attention to detail, Good telephone and computer skills, Strong capability for speaking with older adults",None,Prior experience in an office and/or research/laboratory setting,0-1 year
14321,Undergraduate,None,None,None,Must return to full-time studies after the work term,None
14322,Certificate or degree,None,Willingness to share experiences,None,None,None
14323,Bachelor?€?s or Master?€?s,"SQL, Python","Ability to work independently and accept direction, Self-motivated individuals with a customer mindset",None,None,None
14324,Bachelor?€?s,"Microsoft Office (Word, Excel), Lean Manufacturing principles (e.g., Kanban, 5S, Continuous Improvement)","Strong analytical, problem-solving, and organizational skills, Excellent attention to detail",None,None,None
14325,Law school student,None,"Strong written and verbal communication skills, Detail oriented",None,None,None
14326,Undergraduate,None,None,None,"Any relevant experience they have with Finance or Business (analyst, clubs, etc), required",None
14327,None,"Typescript, React, Terraform, AWS services",Ability to collaborate in team settings,None,Experience with React,None
14328,None,Microsoft Excel/Google Sheets,"Effective communicator, ability to build relationships & manage expectations, Time management and ability to plan and prioritize effectively, Curious mindset & initiative",None,None,None
14329,Bachelor?€?s or Master?€?s,"Adobe Creative Suite, Microsoft Office",None,None,None,None
14330,High School Diploma or Equivalent,None,"Excellent verbal and written interpersonal skills, Ability to work independently and in a team environment",None,None,None
14331,Graduate,"Word, PowerPoint, Excel","Interest in organizational management, equity, inclusion, and belonging, Commitment to civil liberties, civil rights, and social justice",None,Experience with project management and resource building,None
